## 漏洞跟踪记录
log/截图	优先级	反馈时间	当前状态	提报人	父记录	类型	跟进人	问题描述	备注说明	问题复核
image.png	P1	1773158400000	待发版验证	dylon	浏览/收藏/解锁记录	BUG	ham	屏蔽的人：被屏蔽的人在浏览/收藏/解锁记录的 6 个页面里，正确应都隐藏（包括机器人），目前我收藏的人页面会展示（编号 3079540 看第 2 个）		
	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	我收藏的：非会员身份，目前点击“联系对方”弹出的是会员开通阻断弹框，正确应弹框提示“联系次数不足 / 开通会员无限解锁联系方式”，点击“开通会员”弹框按钮，立即跳转至会员开通页（选中黄金会员tab--年度会员）		
	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	我收藏的：会员身份，目前点击“联系对方”是直接解锁并跳转到了私信页，正确应弹框提示“您是会员，可免费解锁和对方的聊天”；点击“立即解锁”弹框按钮，toast提示“成功解锁联系方式”，同时立即跳转至私信会话页且底部弹出“xx家长联系方式/xxxxxxxxxxx”（若没有联系方式则不弹）		
	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	dylon	我收藏的：非会员解锁剩余次数≥ 1，点击“联系对方”应弹框提示“您有xx次免费解锁机会，可解锁并查看对方号码”；点击“立即解锁”弹框按钮，后续交互同上（会员条件解锁），此为待测点		
	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	dylon	我收藏的：点击已建立过会话嘉宾，直接跳转到至私信页并弹出联系方式（没手机号则不弹），目前好像是会阻断，待测点		
image.png	P2	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	收藏我：非会员身份，底部按钮的提醒“最近有xx人收藏我”，前缀“最近有”改为“共有”		
image.png	P2	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	收藏我：目前在此页取消被我屏蔽的嘉宾，无法取消屏蔽，会提示操作失败		
IMG_5846.JPEG	P2	1773158400000	新增	ham		UI页面还原度	ham	选择操作弹窗-UI问题		
	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	收藏我：非会员身份，目前点击嘉宾卡片以及详细资料按钮、联系对方按钮都是跳转到新的页面，正确应该统一弹出会员开通阻断弹框		
image.png	P2	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我/我看过/收藏我/我收藏/解锁我/我解锁：6 个页面嘉宾顶部的日期，今/昨天的日期用“今天、明天”代替。目前除了“看过我”页面实现，其他 5 个页面未实现		
image.png	P1	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	收藏我：会员身份，目前底部会提示开通会员（如图 1），正确应去掉提示语及按钮		
image.png	P1	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	解锁我：目前解锁嘉宾后，“解锁我、我解锁”2 个tab页都显示了我解锁的嘉宾按钮状态，因 2 个页面的嘉宾都可以正常查看，“已解锁”按钮反而会增加理解成本，故去掉该逻辑，正常展示“联系对方”按钮状态		
image.png	P0	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	刘瀚卿, ham	解锁我：需求变更，因任一方解锁了对方，会话即生成，双方就可以发起聊天，所以无论己方是否会员，在当前tab页都不受会员阻断，即点击嘉宾卡片的“详细资料/照片”按钮，或点击资料卡“联系对方”按钮以外区域，统一跳转“详细资料”页；点击“联系对方”按钮，则跳转私信会话页。顺带强调，文字提醒“24 小时内免费查看 xx：xx：xx”保留，起到吸引用户点击作用（实际24 小时后也可查看）		
image.png, image.png	P2	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	解锁我/我解锁 2 个tab页：置顶资料，目前点击“···”更多操作框，缺少置顶资料能力，且我解锁的tab页操作框误加了“查看联系方式”操作项（图 1）		
image.png	P1	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	我解锁的：底部不应该有提示“共解锁xxx位·······”，详见图 1		
image.png	P2	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	至尊会员：目前点击入口栏的“查看特权”，跳转至会员中心页且选中了“黄金会员tab”，正确应选中“至尊会员”tab		
image.png	P0	1773158400000	新增	dylon	我的首页	BUG	ham	通顶交互：目前除了主页面，其他所有二级页、三级页都缺少通顶设计，即下拉页面时，顶部未做通顶处理，右侧操作栏无背景上滑重叠后体验差（可参考完美亲家看看），另外我的首页顶部右侧操作栏有2 个会重叠		
image.png	P2	1773158400000	新增	dylon		UI页面还原度	杨璐琳	弹幕上下留白感觉有点大，看下是UI稿问题还是实现本就如此	我调小间距了，重新上传了@Leo@ham
	
image.png	P2	1773158400000	新增	dylon		UI页面还原度	杨璐琳, ham	底部留白太多		
image.png, image.png	P0	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	黄金会员：目前点击“购买说明”跳转到了新页面（图 2），正确应弹框提示（图 1）		
image.png	P2	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	滚动弹幕：无论选中哪个tab，希望用户在浏览权益信息时，滚动弹幕能随通顶标题一起固定住，确保用户浏览同时能感受其他人也在买，加速家长支付决策		
image.png, image.png, image.png	P0	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	黄金会员：权益图片，目前黄金会员的季度、年度、永久tab页会员，其有效期和每天推荐的人数都用了同一个，正确应如截图 1 prd所示		
image.png	P0	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	黄金会员：目前点击列表各个权益入口无反应，正确应弹出权益图片弹框，详见UI稿		
image.png	P0	1773158400000	新增	dylon	开通会员页	BUG	ham, 刘瀚卿	至尊会员：目前点击列表各个权益入口无反应，正确应弹出权益图片弹框，详见UI稿		
image.png	P2	1773072000000	新增	dylon		UI页面还原度	ham, 杨璐琳	后缀“我收藏的”，和“···”更多图标的视觉还原度低，需对照UI优化		
image.png, image.png	P2	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham	目前看过我/我看过、收藏我/我收藏、解锁我/我解锁的 6 个页面，都缺少嘉宾为 0 的缺省提醒，正确应如图 1的prd提醒（图 2 是UI稿）		
image.png	P1	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham	首页金刚区：有人看过我、收藏我、解锁我后，目前首页人数未增加（进入再返回才增加了），正确应实时显示历史+新增人数		
image.png, image.png	P2	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham	超级曝光提醒：所有通过己方在首页超级曝光推荐专区或超级曝光嘉宾列表页资料卡片“看过我、收藏我、解锁我、私信我”的异性嘉宾，在己方视角的浏览记录、收藏记录、解锁记录、私信会话里正确应都会提醒“通过超级曝光xx”，目前没有除了浏览记录有提醒，收藏和解锁记录都没有		
	P0	1773072000000	待发版验证	dylon	超级曝光	BUG	ham, 刘瀚卿	单次购买倒计时：在倒计时期间，用户可关闭超级曝光，关闭后倒计时正确应该暂停，目前是直接隐藏了		
image.png, image.png	P2	1773072000000	新增	dylon		UI页面还原度	ham, 刘瀚卿	超级曝光倒计时：曝光倒计时和开关按钮展示与UI稿不一致（图 1 是UI稿）		
image.png	P1	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我：目前对方看过我资料主页多次后，此页顶部只显示了“看了我”，正确应显示“xx月xx日看了我 共看过我xx次”（若累计看过次数≥ 2 且有通过超级曝光看了我，则依然遵从该逻辑）		
	P0	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	会员阻断：我看过/看过我、收藏我/我收藏、解锁我/我解锁的 6 个tab嘉宾列表页，其对应阻断逻辑详见prd，以prd为准		
image.png	P0	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我：至尊/黄金会员身份，目前底部会显示“开通会员 查看全部资料”按钮，正确应不展示		
image.png	P0	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我：非会员身份，目前此页点击嘉宾卡片以及详情资料按钮，跳转到了详情资料页，此页特殊处理，正确应同底部按钮逻辑一样，弹出会员开通阻断弹框		
image.png	P0	1773072000000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我/我看过/收藏我 3 个tab页：嘉宾卡片资料信息目前显示缺失或多出，可对照UI稿自查，比如：缺少年龄、相亲介绍等		
image.png	P0	1772985600000	验收通过	dylon	超级曝光	BUG	ham, 刘瀚卿	非会员身份：点击金刚区超级曝光，正确应跳转至「超级曝光--特权介绍」页，而不是「超级曝光--嘉宾列表」页	@ham@刘瀚卿这个问题辛苦优先解决，否则进不去「超级曝光--特权介绍」页，验收不了该页对应问题	
IMG_5847.JPEG, 20260309-004258.169-1.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	聊天室-UI问题		
20260309-004258.169-2.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	相亲资料-UI问题		
20260309-004258.169-3.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	实名认证-UI问题		
20260309-004258.169-4.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	至尊会员-UI问题		
截屏2026-03-09 00.09.52.png, 20260309-004258.169-5.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	相亲资料-择偶标准-UI问题		
20260309-004258.169-6.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	黄金会员-UI问题		
20260309-004258.169-7.jpg	P2	1772985600000	新增	ham		UI页面还原度	ham	精准搜索-UI问题		
screenshot-20260309-125417.png	P2	1772985600000	新增	ham		UI页面还原度	ham	首页-UI问题		
screenshot-20260309-133012.png	P2	1772985600000	新增	ham		UI页面还原度	ham	我的红豆-UI问题		
screenshot-20260309-125738.png	P2	1772985600000	新增	ham		UI页面还原度	ham	首页-UI问题		
screenshot-20260309-130416.png	P2	1772985600000	新增	ham		UI页面还原度	ham	黄金会员弹窗-UI问题		
screenshot-20260309-130523.png, 截屏2026-03-09 13.36.50.png	P2	1772985600000	新增	ham		UI页面还原度	ham	至尊会员弹窗-UI 问题		
screenshot-20260309-131142.png, screenshot-20260309-132303.png, screenshot-20260309-130941.png, 企业微信20260309-131244@2x.png	P2	1772985600000	新增	ham		UI页面还原度	ham	超级曝光-UI 问题		
screenshot-20260309-132527.png	P2	1772985600000	新增	ham		UI页面还原度	ham	精准搜索-UI 问题		
screenshot-20260309-125417.png	P2	1772985600000	新增	ham		UI页面还原度	ham	首页-UI 问题		
screenshot-20260309-132829.png, screenshot-20260309-130121.png, 截屏2026-03-09 13.36.08.png, 截屏2026-03-09 13.36.23.png, 截屏2026-03-09 13.35.59.png	P2	1772985600000	新增	ham		UI页面还原度	ham	我的-UI 问题		
screenshot-20260309-132713.png, 截屏2026-03-09 14.23.06.png	P2	1772985600000	新增	ham		UI页面还原度	ham	缺省页-UI 问题		
image.png	P0	1772985600000	待发版验证	dylon	精准查找	BUG	ham	搜索结果：非至尊会员身份，有过 1 次搜索记录，次日再点击金刚区进入时，目前是跳转到了搜索查找页，正确应跳转至搜索结果页		
		1772985600000				BUG		超级曝光		
c4c4e3b3336183e7e0eea25b8c71cf23.jpg	P2	1772985600000	待发版验证	dylon	超级曝光	BUG	ham	超级曝光--开关设置页：若用户单次购买超级曝光次数或时长未用完时，此时购买了至尊会员，则正确做法是顶部“剩余曝光次数”和“曝光倒计时”提示不再显示，开关状态延续之前，但目前还会显示“剩余曝光次数”和“曝光倒计时”		
image.png	P2	1772985600000	待发版验证	dylon	超级曝光	BUG	ham	嘉宾列表：嘉宾卡片展示以及交互需与首页嘉宾卡片一致，目前未一致		
		1772985600000				BUG		注册登录		
	P0	1772985600000	新增	dylon	注册登录	BUG	ham, 刘瀚卿	注册登录：首次进入小程序，正确应以游客身份进入首页（分享除法），触发注册流程才能完成登录，目前是直接授权手机号直接登入小程序		
		1772985600000				BUG		消息首页		
image.png	P0	1772985600000	新增	dylon	消息首页	BUG	dylon, ham	系统消息：目前点击系统消息无效，正确应点击进去后，有相应的系统消息		
image.png	P0	1772985600000	待发版验证	dylon	消息首页	BUG	ham	嘉宾消息：目前消息列表的家长编号与详情页的标号不一致，正确应一致		
image.png	P2	1772985600000	新增	dylon		新需求	ham, 杨璐琳	消息列表：增加孩子更多信息，以提高回复效率。如截图所示（左侧神仙亲家，右侧完美亲家），增加一行孩子信息，并按顺序依次显示孩子现居地城市（精确到城市/直辖市/行政特区即可）、出生年份、身高、职业、学历，举例：杭州市/96 年/168cm/银行职员/本科，超出可隐藏末尾字段	这个UI设计稿已上传蓝湖了@ham@Leo	
image.png, image.png	P1	1772985600000	新增	dylon	私信会话页	BUG	ham	解锁会话：当底部操作栏是未解锁状态时，目前点击“立即解锁”，以及点击 “交换微信、拨打电话、发送照片”菜单按钮，是跳转到了会员开通页，正确应统一弹出会员阻断弹框，详见截图prd		
image.png	P0	1772985600000	新增	dylon	私信会话页	BUG	ham, 刘瀚卿	解锁会话：对方解锁我后(真人以解锁时间做判断，机器人可以消息触发成功时间做判断)，正确是会话建立后己方无需解锁对方就可以聊天，目前是己方需解锁对方才可聊		
image.png	P0	1772985600000	待发版验证	dylon	消息首页	BUG	ham	精准查找：非会员身份，此入口应与首页精准搜索入口逻辑、记录保持一致，目前首页搜索查找机会用过后会进入搜索解锁页，但在消息页则进入了精准查找页，正确应同前者进入搜索结果页		
	P0	1772985600000	新增	dylon	编辑资料	BUG	ham, 刘瀚卿	资料编辑页：资料项的交互能力或交互弹框与UI稿不一致		
image.png	P2	1772985600000	新增	杨璐琳		UI页面还原度	ham	上传孩子照片，红框视觉未与箭头所指UI稿保持一致		
image.png, image.png	P0	1772985600000	新增	dylon	编辑资料	BUG	ham, 刘瀚卿	编辑资料页：上传无人脸的头像，目前点击“确认上传”会报错英文提示（图 2），正确提示应 如图 1 所示		
image.png, image.png	P0	1772985600000	新增	dylon	编辑资料	BUG	ham	上传照片：首次上传孩子照片时，正确应弹框提示如图 2，目前是 弹框图 1		
image.png	P1	1772985600000	新增	dylon	编辑资料	BUG	ham	填写称呼：目前只能在编辑页填写，正确应如图 2 所示，跳转至填写页		
image.png, image.png	P1	1772899200000	新增	dylon		新需求	杨璐琳, ham	精准查找：至尊会员身份进入筛选结果页时，底部新增高亮的“点击搜索嘉宾（今日剩1次机会）” 按钮，以及置灰按钮“今日已搜索成功”，详见右侧截图原型以及prd	这个UI设计稿已上传蓝湖了@Leo@ham	
image.png	P0	1772899200000	验收通过	dylon	精准查找	BUG	ham	精准查找： 1、从首页进入的筛选结果页，点击返回后，正确应返回至首页，而不是返回条件条件筛选页；2、若下次从首页进入，且之前有筛选记录，则直接进筛选结果页		
image.png, image.png	P0	1772899200000	新增	dylon	历史推荐：将原有“区间日期筛选”弹框，改为“滚筒下拉框形式”，且只做单日日期筛选，日期默认选中前 31天；同时，对应弹框交互以及规则需要按红框需求实现	BUG	ham	父问题补充：其滚筒下拉框样式，以及交互，需对照截图样式实现，图 1 是现有视觉弹框可直接复用UI，图 2 是UI复用后的实现样式（排版交互要一致）		
		1772899200000	待发版验证	dylon	精准查找	BUG	ham, 刘瀚卿	房产要求：正确应只有“不限、近期购房、家乡地已购房、现居地已购房”4项可选，且择偶项“近期购房”匹配 资料项“近期有购房计划”，择偶项“家乡地已购房、现居地已购房”匹配同理；“不限”项则匹配“家乡地已购房、现居地已购房、近期有购房计划、婚后购房、父母同住、租房” 6项	@ham后端已完成，等待前端接入	
image.png	P0	1772899200000	新增	dylon	历史推荐	BUG	ham, 刘瀚卿	历史推荐：点击嘉宾卡片按钮，无反应		
		1772899200000				BUG		精准查找		
		1772899200000				BUG		嘉宾资料详情页		
74816a58-da80-431a-a6ff-e1d7fa6c5e23.jpeg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	黄金会员页面		
20260307-235703.547-4.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	相亲资料页面问题		
20260307-235703.547-5.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	红豆明细页面		
20260307-235703.547-8.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	我解锁的-页面问题		
20260307-235703.547-9.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	我收藏的-页面问题		
20260307-235703.547-10.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	我收藏的-操作弹窗-页面问题		
20260307-235703.547-11.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	看过我-页面问题		
20260307-235703.547-12.jpg	P2	1772899200000	验收通过	ham		UI页面还原度	ham	我的红豆-页面问题		
		1772899200000				BUG		浏览/收藏/解锁记录		
image.png	P1	1772899200000	新增	dylon	首页嘉宾列表	BUG	ham	嘉宾资料：当用户已填 收入和职业时，优先展示收入		
image.png, image.png	P2	1772899200000	验收通过	dylon	嘉宾资料详情页	BUG	ham	嘉宾屏蔽：屏蔽的人，其取消屏蔽后的弹框样式和文案错误，详见图 1		
image.png	P2	1772899200000	新增	dylon	嘉宾资料详情页	BUG	ham	拨打电话：会员身份，点击弹框按钮“立即解锁”后，目前在当前页弹出了联系方式，正确应立即跳转至私信会话页，且底部弹出“xx家长联系方式/xxxxxxxxxxx”		
image.png, image.png	P2	1772899200000	新增	dylon	首页嘉宾列表	BUG	ham	孩子照片：现有高斯模糊度太高，导致缺少想象空间，期望对照图 1 进行还原		
		1772899200000				BUG		私信会话页		
image.png	P2	1772899200000	验收通过	dylon		UI页面还原度	ham	取消收藏：弹框样式需与UI保持一致		
	P0	1772899200000	验收通过	dylon	嘉宾资料详情页	BUG	dylon	拨打电话：测试点备忘录
长按手机号码，toast提示“内容已复制”；点击“手机号码”，1 级弹框消失，底部弹出带有手机号的微信系统 2 级弹框；点击2 级弹框的“呼叫”按钮，直接调取手机系统拨出电话		
		1772899200000				BUG		开通会员页		
image.png	P2	1772899200000	新增	dylon	嘉宾资料详情页	BUG	ham	会员身份，点击“打招呼”按钮，现状：仅在当前页有弹框提示；期望：参考图 1，弹框提示的同时跳转到私信页，且私信页底部菜单为锁定状态（给用户解锁立得的感觉）		
image.png	P0	1772899200000	待发版验证	dylon	嘉宾资料详情页	BUG	ham, 刘瀚卿	交换照片：至尊会员身份，点击“交换照片”按钮，错误弹框提示“登记资料”，测试号 15717136585		
image.png	P2	1772899200000	验收通过	dylon	私信会话页	BUG	ham	家长信息：当对方为非本人的家长时，其姓氏后缀需带上“家长”		
image.png	P2	1772899200000	验收通过	dylon	私信会话页	BUG	ham	孩子资料卡片：与首页卡片一样，优先展示“收入”，相亲介绍内容限制在 2 排		
image.png	P1	1772899200000	新增	dylon	私信会话页	BUG	ham	私信内容：私信缺少发送时间，以及“未读/已读”状态（若对方为真人，则以实际阅读时间显示状态，若对方为真人，则以回复时间显示）		
image.png	P2	1772899200000	验收通过	dylon	私信会话页	BUG	ham	私信头像：目前点击对方头像无反应，正确也应跳转至资料详情页		
image.png	P1	1772899200000	新增	dylon	私信会话页	BUG	ham	私信内容：长按己方私信时，操作提示有遮挡影响体验（固定位置展示就好了）		
image.png	P2	1772899200000	新增	dylon	私信会话页	BUG	ham	私信内容：长按对方私信时，需将操作提示的多余背景框裁剪		
image.png	P2	1772899200000	待发版验证	dylon	私信会话页	BUG	ham	私信撤回：点击“撤回”时，需将超出撤回时间时的文案“撤回失败”改为“超出撤回时间”		
image.png	P1	1772899200000	待发版验证	dylon	私信会话页	BUG	ham	私信撤回：目前2 分钟内的私信内容会提示撤回失败，正确应按prd撤回，详见截图prd		
image.png	P1	1772899200000	验收通过	dylon	私信会话页	BUG	ham	私信表情：表情包需支持gif动态预览以及发出后动态展示		
image.png	P2	1772899200000	验收通过	dylon	私信会话页	BUG	ham	私信表情：默认选中表情tab，而不是表情包tab		
	P2	1772899200000	新增	dylon	私信会话页	BUG	ham	私信语音：播放语音时，目前播放动效播完不会自己停，需手动停止，正确应播完即止		
image.png	P1	1772899200000	待发版验证	dylon	私信会话页	BUG	ham	拨打电话：当对方无手机号（如机器人）时，此按钮隐藏，其他按钮自适应左对齐		
image.png	P0	1772899200000	新增	dylon	私信会话页	BUG	ham	发送照片：照片未做人脸校验，目前任何图片都可发送对方，正确应该是符合人脸要求的才可发送，否则应如截图所示进行提示		
image.png, image.png	P0	1772899200000	验收通过	dylon	精准搜索	UI页面还原度	ham	筛选页的年份、身高选项框 图 2，需对照图 1 的UI稿进行优化（复用择偶资料填写框即可，注意标题区分性别）	@Leo 更新一下体检版看看，不符合修改后的预期	
image.png	P1	1772899200000	新增	dylon	精准查找	BUG	ham	年份筛选：筛选选择框的交互&展示逻辑不对，需对照prd优化 神仙亲家--用户资料/打招呼/任务体系		
	P1	1772899200000	新增	dylon	精准查找	BUG	ham	身高筛选：筛选选择框的交互&展示逻辑不对，需对照prd优化 神仙亲家--用户资料/打招呼/任务体系		
image.png	P1	1772899200000	待发版验证	dylon	身高筛选：筛选选择框的交互&展示逻辑不对，需对照prd优化 神仙亲家--用户资料/打招呼/任务体系	BUG	ham	截止年份栏，其高亮选中的年份，目前随起始年份错误显示为了“不限”项，正确应选中“不限”项的下一项（N+5cm项）		
