recordId,优先级,当前状态,反馈日期,提报人,跟进人,类型,问题描述,备注说明
"image.png, image.png","P0","待验收","dylon","收藏记录：1、tab名“我收藏”改为“我收藏的”；2、嘉宾资料显示不全，需对照prd优化；3、收藏时间需补充后缀“我收藏的”；4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化","ham","BUG","2、嘉宾资料显示不全，需对照prd优化；",""
"image.png","P1","待验收","dylon","收藏记录：1、tab名“我收藏”改为“我收藏的”；2、嘉宾资料显示不全，需对照prd优化；3、收藏时间需补充后缀“我收藏的”；4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化","ham","BUG","3、收藏时间需补充后缀“我收藏的”，问题详见截图，正确的详见视觉稿",""
"image.png","P0","待验收","dylon","收藏记录：1、tab名“我收藏”改为“我收藏的”；2、嘉宾资料显示不全，需对照prd优化；3、收藏时间需补充后缀“我收藏的”；4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化","ham","BUG","4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化",""
"image.png","P0","待验收","dylon","嘉宾详情页--举报：若任一方未联系过对方，正确应在详情页点击“举报”按钮时就 toast提示“您未联系过对方，无法举报！” ，目前错误在弹框出现后点击选项才弹框提示（这里也不应是弹框）","ham","BUG","母问题解决了，但引发新问题：有过打招呼会话记录后（系统也算），正确是这时去举报是可以的，但此时错误提示了“您未联系过对方，无法举报！”，正确应可以举报且弹出弹框选项",""
"image.png","P0","新增","dylon","非会员身份，点击首页推荐嘉宾卡片的“联系对方” 按钮，不应该享有会员权益，应根据需求进行相应的阻断","ham","BUG","正确阻断方式，正确应该如父问题的prd截图出阻断解锁弹框，而现在错误出了阻断开通弹框",""
"image.png, image.png, image.png","P0","新增","dylon","嘉宾详情页，目前交换照片功能未实现","ham","BUG","点击“交换照片”，这里弹框样式以及文案错误（此处交互判断逻辑较多，需对照prd、视觉稿实现",""
"image.png, image.png","P0","新增","dylon","历史推荐：将原有“区间日期筛选”弹框，改为“滚筒下拉框形式”，且只做单日日期筛选，日期默认选中前 31天；同时，对应弹框交互以及规则需要按红框需求实现","ham","BUG","父问题补充：其滚筒下拉框样式，以及交互，对照截图实现，图 1 是现有视觉弹框可直接复用UI，图 2 是UI复用后的实现样式（排版交互要一致）",""
"image.png","","新增","dylon","精准查找：婚姻要求、房产要求、购车要求筛选项，正确只支持单选，目前错误为多选，且对应选项需要对照prd修改，详见截图文档","ham, 刘瀚卿","BUG","安卓手机：点击时不应附带蓝色边框",""
"","","新增","dylon","精准查找：婚姻要求、房产要求、购车要求筛选项，正确只支持单选，目前错误为多选，且对应选项需要对照prd修改，详见截图文档","ham, 刘瀚卿","BUG","房产要求：正确应只有“不限、近期购房、家乡地已购房、现居地已购房”4项可选，且择偶项“近期购房”匹配资料项“近期有购房计划”，“家乡地已购房、现居地已购房”2项同理；“不限”项则匹配“家乡地已购房、现居地已购房、近期有购房计划、婚后购房、父母同住、租房” 6项",""
"","","新增","dylon","嘉宾详情页：机器人家长或本人姓氏，缺少后缀（本人或家长","ham, 刘瀚卿","BUG","机器人后缀亲属关系字段，建议随机关系，否则清一色都是“母亲”",""
"","","","","","","BUG","",""
