"recordId","优先级","当前状态","反馈日期","提报人","跟进人","类型","问题描述","备注说明"
"recvaOzmAQY11O","P0","验收通过","2026-02-10","刘瀚卿","刘瀚卿","BUG","消息列表中，外面会显示乱码","{""code"":0,""message"":""success"",""data"":{""list"":[{""conversation_id"":69,""target_child_id"":5040,""target_child"":{""child_id"":5040,""family_name"":""薛"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/9232efc9f84e9ffb31d431d5f112ad75.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2002,""age"":24}},""last_message"":{""content"":""您好呀，我家女儿孝顺，对公婆会像\ufffd\ufffd"",""created_at"":1770788865,""created_label"":""05:47""},""unread_count"":1,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":63,""target_child_id"":4968,""target_child"":{""child_id"":4968,""family_name"":""白"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/88934ee91442338cfd692c88cb5432b5.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2002,""age"":24}},""last_message"":{""content"":""做父母的都希望女儿婚后不受气，我\ufffd\ufffd"",""created_at"":1770742185,""created_label"":""02月10日 16:49""},""unread_count"":1,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":61,""target_child_id"":4756,""target_child"":{""child_id"":4756,""family_name"":""邓"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/71a8901215e2e6d6fb2c5fafb5646fb3.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2000,""age"":26}},""last_message"":{""content"":""您好呀，我家女儿想找个同乡或本地\ufffd\ufffd"",""created_at"":1770740091,""created_label"":""02月10日 16:14""},""unread_count"":1,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":59,""target_child_id"":4942,""target_child"":{""child_id"":4942,""family_name"":""郝"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/85ced65cb811cdfd2fc4512f3fa20495.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2002,""age"":24}},""last_message"":{""content"":""您好！替女儿找对象，我们看重的是\ufffd\ufffd"",""created_at"":1770737008,""created_label"":""02月10日 15:23""},""unread_count"":1,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":58,""target_child_id"":4912,""target_child"":{""child_id"":4912,""family_name"":""梁"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/824daa889bafcaeb314b9cea730a5650.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2002,""age"":24}},""last_message"":{""content"":""您好！替女儿沟通，我们不搞花里胡\ufffd\ufffd"",""created_at"":1770734434,""created_label"":""02月10日 14:40""},""unread_count"":1,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":55,""target_child_id"":4898,""target_child"":{""child_id"":4898,""family_name"":""黎"",""identity"":""本人"",""avatar"":""https://image.yilusx.com/child_photo/fk_ow/7fae11cb10ab2806dec5908b2ae626ce.jpg"",""child_basic"":{""gender"":2,""gender_label"":""女孩"",""birth_year"":2001,""age"":25}},""last_message"":{""content"":""替女儿找对象不看外表看内在，我家\ufffd\ufffd"",""created_at"":1770732296,""created_label"":""02月10日 14:04""},""unread_count"":0,""is_unlocked"":false,""is_locked"":false,""source"":0,""source_label"":""""},{""conversation_id"":9,""target_child_id"":208,""target_child"":{""child_id"":208,""family_name"":""刘"",""identity"":""母亲"",""avatar"":""https://thirdwx.qlogo.cn/mmopen/vi_32/POgEwh4mIHO4nibH0KlMECNjjGxQUq24ZEaGT4poC6icRiccVGKSyXwibcPq4BWmiaIGuG1icwxaQX6grC9VemZoJ8rg/132"",""child_basic"":{""gender"":1,""gender_label"":""男孩"",""birth_year"":1999,""age"":27}},""last_message"":{""content"":""[语音]"",""created_at"":1770556958,""created_label"":""02月08日 13:22""},""unread_count"":0,""is_unlocked"":true,""is_locked"":false,""source"":0,""source_label"":""""}],""total"":7,""page"":0,""size"":100,""has_more"":false,""total_unread"":5}}"
"recvaP0c21zcu7","P0","验收通过","2026-02-10","dylon","ham","BUG","嘉宾详情页：机器人家长或本人姓氏，缺少后缀（本人或家长","@ham这里后缀取的字段是亲属关系，详见截图prd"
"recvaP0g2cs01p","P0","验收通过","2026-02-10","刘瀚卿","ham","BUG","聊天页面的资料卡片信息展示",""
"recvaSLofh7949","P0","验收通过","2026-02-10","刘瀚卿","ham","BUG","编辑资料中显示的是地区代码，而不是地区的汉字","@ham 预览资料和编辑资料里面显示的地区还是代码"
"recvaJkTo5JUrk","P0","验收通过","2026-02-09","dylon","刘瀚卿, ham","BUG","点击嘉宾卡片的 “联系对方” 按钮，跳转至私信页后，顶部提示连接失败",""
"recvaJoTOfaICb","P0","验收通过","2026-02-09","dylon","刘瀚卿","BUG","嘉宾详情页：机器人家长的姓氏，从 前 100 名姓氏里随机选择，详见截图",""
"recvaJqX1utaYi","P0","验收通过","2026-02-09","dylon","ham","BUG","嘉宾详情页：机器人账号为孩子本人时，需有“本人”后缀，详见需求文档",""
"recvaBHFNnxpIC","P0","验收通过","2026-02-09","dylon","ham","BUG","浏览记录：我看过的tab页顶部，缺少 “近 14 天浏览记录（xx人）” 的提示",""
"recvaEwEO8ipDZ","P0","验收未通过","2026-02-09","dylon","刘瀚卿, ham","BUG","首页嘉宾列表：机器人家长或本人头像与孩子照片不能用同一张，目前错误使用了同一张","@刘瀚卿@ham  嘉宾详情页的家长头像和孩子照片用同一张图是对的，但首页嘉宾卡片不对（其他地方展示嘉宾卡片的有同样问题）

现在两个都有展示，前端接入一下 @ham"
"recvaBfzqlSZMJ","P0","验收通过","2026-02-08","dylon","ham","BUG","在首页、消息页，点击“看过我/收藏我/解锁我”入口，会出会员阻断弹框提示，正确是不出可正常进入该页，目前我tab主页点击进去符合预期",""
"recvaBjebOf8L8","P0","验收通过","2026-02-08","dylon","ham, 刘瀚卿","BUG","非会员身份，点击首页推荐嘉宾卡片的“联系对方” 按钮，不应该享有会员权益，应根据需求进行相应的阻断","现在依赖后端的 canContact字段，当联系对方之后，这个字段的值不会发生变化还是true。解锁了好几次unlock接口的人， remaining quota的值一直是2"
"recvaBuBGY5T68","P0","验收通过","2026-02-08","dylon","ham","BUG","会员阻断：
1、标题文案“开通会员解锁联系方式”错误，需根据黄金会员、至尊会员tab的切换而变化，对应标题为“开通黄金会员即可查看 / 开通至尊会员即可查看”  ；
2、弹幕交互不对，详见截图需求文档；
3、权益轮播图未更新，需对照视觉稿进行修改",""
"recvaBxU5w4PtG","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：在黄金会员tab下，缺少了“至尊会员价格档”，详见截图视觉稿",""
"recvaBA0HUveCt","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：点击“马上开通”，直接拉起微信支付即可，现在错误跳转至会员开通权益页了",""
"recvaBBlGbGUZe","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：无论黄金还是至尊会员，排版样式、元素需要对照视觉稿进行优化",""
"recvaBJYoRro70","P0","新增","2026-02-08","dylon","ham","BUG","浏览/收藏/解锁记录：点击底部“开通会员”按钮，正确应弹出会员开通阻断弹框，而不是直接进入开会开通页面",""
"recvaCdDPVPfiV","P0","验收通过","2026-02-08","dylon","ham","BUG","精准查找：婚姻要求、房产要求、购车要求筛选项，正确只支持单选，目前错误为多选，且对应选项需要对照prd修改，详见截图文档",""
"recvaCdE72uqTs","P0","验收通过","2026-02-08","dylon","ham","BUG","精准查找：点击搜索，查找结果报错提示“加载失败”",""
"recvaCRi4hhOVG","P0","验收通过","2026-02-08","dylon","刘瀚卿","BUG","精准查找：筛选条件放宽后，还是搜不到人，此处应有机器人补齐才对","@刘瀚卿  还是搜不到，且进入结果页后提示“加载失败”"
"recvaCZ94j8Uqn","P0","验收通过","2026-02-08","dylon","ham","BUG","精准查找： 1、从首页进入的筛选结果页，点击返回后，正确应返回至首页，而不是返回条件条件筛选页；2、若下次从首页进入，且之前有筛选记录，则直接进筛选结果页",""
"recvaD0EZfHBR9","P0","新增","2026-02-08","dylon","ham, 杨璐琳","BUG","超级曝光：单次购买完曝光后，应有对应弹框提示，详见prd",""
"recvaDetxzg6eB","P0","新增","2026-02-08","dylon","杨璐琳","BUG","超级曝光：这里是不是少了单次开通超级曝光的弹框视觉？",""
"recvaDeMgRPtMG","P0","新增","2026-02-08","dylon","ham","BUG","超级曝光：1、宣发页需更换为最新的，详见视觉稿；2、最新视觉稿中，点击“查看全部特权介绍 >”按钮，跳转至至尊会员开通页",""
"recvaDg0PqzjUe","P0","验收通过","2026-02-08","dylon","ham","BUG","超级曝光：点击底部“至尊会员可免费曝光”按钮进入会员开通页后，正确应默认选中“至尊会员”，目前错误选中“黄金会员”",""
"recvaDgliuk7oI","P0","新增","2026-02-08","dylon","ham","BUG","超级曝光：首页未实现超级曝光专区推荐，详见prd",""
"recvaDglQxvj6U","P0","验收通过","2026-02-08","dylon","刘瀚卿","BUG","超级曝光：真人不足时，应有机器人填充，详见表格prd 推荐算法文档 1.0",""
"recvaDIB5nzsi1","P0","验收通过","2026-02-08","dylon","ham","BUG","超级曝光：我单次购买的超级曝光，正确应可以开启开关，但目前开启后会弹框提示开通会员",""
"recvaDMwh5FKZ3","P0","验收未通过","2026-02-08","dylon","ham","BUG","历史推荐：非至尊会员身份，点击“日期筛选”时，正确应弹出会员充值阻断弹框",""
"recvavsJCNjVWR","P0","验收通过","2026-02-07","dylon","刘瀚卿","BUG","嘉宾卡片外显的相亲说明内容显示错误，与详情页内容不一致","match_desc返回的内容不匹配"
"recvavttnZTLCH","P0","验收通过","2026-02-07","dylon","刘瀚卿","BUG","嘉宾详情页，未正常显示家长头像、姓氏称呼、亲属关系字段","parent没有展示对应的数据 fetch(""http://14.103.101.225:8880/api/v1/profile/child/1780"", {
  ""headers"": {
    ""accept"": ""*/*"",
    ""accept-language"": ""zh-CN,zh;q=0.9"",
    ""authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyMTIsImZhbWlseV9pZCI6MjA2LCJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiaXNzIjoiZ29kcWluamlhIiwiZXhwIjoxNzcxMDkwOTU4LCJuYmYiOjE3NzA0ODYxNTgsImlhdCI6MTc3MDQ4NjE1OCwianRpIjoiMDdkMmE1YjAtZWM5YS00ZDk2LWE5OTAtNDMzMmY1MjJjOGU2In0.Nb-8cnl3AkrrFKr4yHU7rvy3GEI64saIUTw0mvK3F3M"",
    ""content-type"": ""application/json"",
    ""proxy-connection"": ""keep-alive""
  },
  ""referrer"": ""https://servicewechat.com/wx0e60fae70b237680/devtools/page-frame.html"",
  ""referrerPolicy"": ""strict-origin-when-cross-origin"",
  ""body"": null,
  ""method"": ""GET"",
  ""mode"": ""cors""
});"
"recvavtG14sQKQ","P0","验收通过","2026-02-07","dylon","ham","BUG","嘉宾详情页，目前交换照片功能未实现","前端查看查看接入指南"
"recvavyOvVRTfv","P0","验收通过","2026-02-07","dylon","ham, 刘瀚卿","BUG","屏蔽嘉宾后，若回到嘉宾列表页还有此人，则再次点其卡片进入详情页，或点击“联系对方”按钮，则统一显示已屏蔽状态页即可，目前情况是前者进去会提示加载失败且白屏，后者进入私聊页提示加载失败","后端接口支持，前端优化展示，无需后端接入"
"recvavHBGdBj6P","P0","验收通过","2026-02-07","dylon","ham","BUG","首页点击“收藏”入口，正确是无论是否会员，都可以进入该页，目前错误提示了会员开通阻断弹框",""
"recvayCA9ZWJu1","P0","新增","2026-02-07","dylon","ham","BUG","目前在不同页面的不同按钮解锁会话时，其实现的交互有些混乱，需要统一梳理，详见下方【新需求--3】",""
"recvaaOcTcrbv2","P0","验收通过","2026-02-05","刘瀚卿","ham","BUG","点击消息列表进入会话，退出时会显示“录音失败”",""
"recvahgmEZv6I6","P0","验收通过","2026-02-05","刘瀚卿","刘瀚卿, ham","BUG"," 地区城市下拉框选择项不全","@刘瀚卿 这是哪里的城市下拉框，注意验收"
"recvahgAt97VKs","P0","验收通过","2026-02-05","刘瀚卿","ham","BUG","预览资料中的部分信息呈现未填写，但是在编辑资料一栏中没有填写的地方","@刘瀚卿具体是哪部分信息
@ham 好像已修复"
"recvahhjNR6bDx","P0","验收通过","2026-02-05","刘瀚卿","ham","BUG","非常奇怪的一点，在体验版程序中，微信一点登录会一直报错登录失败，无论怎么重试，并且服务端收不到日志，但是打开开发调试，重新进入后，就可以登录成功，不知道这是什么原因，是不是开启调试模式后才是测试环境地址？","是的，只有打开开发调试才能够使用IP进行访问"
"recvbyy0P4CGKe","P0","新增","","dylon","ham, 刘瀚卿","BUG","实名认证：第一次实名认证时，提示实名认证失败，具体为姓名、身份证号校对正确，与微信号的校对失败，再次点击验证时，才校对成功",""
"recvbyyIa8m5J1","P0","新增","","dylon","ham, 刘瀚卿","BUG","实名认证：实名认证成功回到上一页后，正确应显示已认证状态身份信息，现况为可以再次填写认证",""
"recvaVJoBaVMAx","P0","验收未通过","","dylon","ham","BUG","4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化",""
"recvaVRprGHWey","P0","新增","","dylon","ham","BUG","正确阻断方式，正确应该如父问题的prd截图出阻断解锁弹框，而现在错误出了阻断开通弹框",""
"recvb1cilOmbpj","P0","新增","","dylon","ham","BUG","父问题补充：其滚筒下拉框样式，以及交互，对照截图实现，图 1 是现有视觉弹框可直接复用UI，图 2 是UI复用后的实现样式（排版交互要一致）",""
"recebyKR54","P1","验收通过","2026-02-12","dylon","ham","BUG","点击嘉宾卡片的 “联系对方” 按钮，跳转至私信页后，报错提示创建会话失败",""
"recvb12DzDcUrn","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹窗：标题文案“开通会员解锁联系方式”错误，需根据黄金会员、至尊会员tab的切换而变化，对应标题为“开通黄金会员即可查看 / 开通至尊会员即可查看”  ；",""
"recvb12DXgkLF0","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹框：弹幕交互不对，详见截图需求文档；",""
"recvb12EeWhskd","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹框：权益轮播图未更新，需对照视觉稿进行修改",""
"recvaVHGlomaOK","P1","验收通过","2026-02-11","dylon","ham","BUG","浏览/收藏/解锁记录：对照视觉稿，需将tab放红框处",""
"recvaJsuAlVaBg","P1","验收通过","2026-02-09","dylon","ham","BUG","嘉宾详情页--举报：若任一方未联系过对方，正确应在详情页点击“举报”按钮时就 toast提示“您未联系过对方，无法举报！” ，目前错误在弹框出现后点击选项才弹框提示（这里也不应是弹框）",""
"recvaJzrWj95U9","P1","验收通过","2026-02-09","dylon","ham","BUG","屏蔽嘉宾后，进入该嘉宾详情页，正确应同上问题显示一致，而不是直接白屏且提示加载失败",""
"recvavHlgJRvnf","P1","验收未通过","2026-02-09","dylon","ham","BUG","嘉宾详情页，底部“未收藏、已收藏”按钮状态未做区分，需对照视觉稿修改","这个地方有点不符合预期"
"recvaBh2LDSCub","P1","验收通过","2026-02-08","dylon","ham","BUG","1、标题区域应直接放 2 个tab，无需多余显示标题
2、首页、消息页进入解锁/收藏/浏览记录页，默认选中“看过我/收藏我/解锁我tab”；若从我的首页进入，则默认选中“我看过/我收藏的/我解锁的tab”",""
"recvaBpXxwErf0","P1","验收通过","2026-02-08","dylon","ham","BUG","收藏记录：1、tab名“我收藏”改为“我收藏的”；2、嘉宾资料显示不全，需对照prd优化；3、收藏时间需补充后缀“我收藏的”；4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化",""
"recvaBxTuFC00m","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：点击底部“购买说明”，未出现弹框提示，需对照视觉稿、prd补充",""
"recvaBA0ZXQ8Zz","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：对照截图视觉稿，目前缺少“xx会员尊享xx打特权”标题，以及 “查看更多权益”入口，对应需求参考prd",""
"recvaBBUDwAuSv","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：无论会员阻断弹框，还是会员开通页面，涉及至尊会员特权功能的一律默认选中“至尊会员”tab，未涉及（黄金会员也支持的）的一律默认选中“黄金会员”tab",""
"recvavERaqRUIv","P1","验收通过","2026-02-07","dylon","ham","BUG","屏蔽嘉宾后，进入该嘉宾已屏蔽状态页，默认进入后的提示内容显示不全，需手动上滑查看",""
"recvavGHpcgXtQ","P1","验收通过","2026-02-07","dylon","ham","BUG","聊天室页，点击顶部家长红框区域，统一跳对方个人资料详情页",""
"recvaxxmCIQz5R","P1","修复中","2026-02-07","dylon","ham, 刘瀚卿","BUG","上传孩子照片时，缺少做人脸验证，需求详见截图 2","@ham
前端接入按这 3 步：
先拿上传预签名 URL
POST /object/upload（需 Bearer）
代码：object.go (line 33)
body 示例：
{ ""module"": ""child_photo"", ""file_number"": 1 }
前端直传图片到预签名 URL（PUT）
回调业务接口保存照片
POST /api/v1/profile/child/{child_id}/photo
body 示例：
{ ""url"": ""child_photo/xxx.jpg"", ""is_primary"": false }
（也可传可访问的 https URL）
联调时前端重点处理这些错误码：
110607：未检测到人脸
110608：检测到多人脸
110602：上传/检测服务异常（稍后重试）
110603：最多 6 张"
"recvaherAMPeNK","P1","验收通过","2026-02-05","刘瀚卿","ham","BUG","看过我进入查看完后退出，右上角的 badge 标签仍然存在","服务端已支持列表级清理，前端需要优化下展示流程
@ham 消息 Tabbar 中的仍然存在这个问题，这个是否是服务端接口响应问题？还是应该要和首页做同样处理
因为我还没发@刘瀚卿
搜噶 @ham 但是首页的好了诶
因为首页发了@刘瀚卿
逆天了 @ham"
"recvaVJ0vOHQJp","P1","新增","","dylon","ham","BUG","3、收藏时间需补充后缀“我收藏的”，问题详见截图，正确的详见视觉稿",""
"recvaxNi9gX6oL","P2","待验收","2026-02-09","dylon","ham","BUG","1、虽然能正常录制语音，但录制交互理解成本高，需对照视觉稿进行优化
2、录制后的语音，点击播放提示“播放失败”",""
"recvaC4oMMVLLV","P2","新增","2026-02-08","dylon","ham","BUG","精准查找：其出生年份选择器的交互逻辑、视觉展示，未与prd、视觉稿一致，需对照优化，详见prd【资料编辑--择偶标准--年份要求】",""
"recvaCazcJbryS","P2","新增","2026-02-08","dylon","ham","BUG","精准查找：其身高选择器的交互逻辑、视觉展示，未与prd、视觉稿一致，需对照优化，详见prd【资料编辑--择偶标准--年份要求】",""
"recvaCckCYDu0S","P2","验收未通过","2026-02-08","dylon","ham","BUG","精准查找：地区要求显示择偶标准中的所有城市，默认选中现居地城市，最多只能选择 1 个城市，没有“不限”和“不填写”选项",""
"recvaEfvkoVaQh","P2","待验收","2026-02-08","dylon","ham, 刘瀚卿","BUG","实名认证：单次认真支付，支付时报错提示“支付失败”","@ham这里的状态判断有问题，我已经通过公安部身份验证，无法进入第二步手机号验证"
"recvavtGlH6lwv","P2","验收通过","2026-02-07","dylon","ham","BUG","嘉宾详情页，目前举报功能未实现",""
"recvahp3QAYZJ1","P2","验收通过","2026-02-05","刘瀚卿","ham","BUG","消息聊天进入会话会从头开始，而不是定位到最近一次会话（最下方）","@刘瀚卿 没看懂问题，注意验收哈
@ham消息列表进去是不是定位最新的一条消息较好？参考微信，现在是定位第一次发消息的位置，查看最新消息要向下滑动很多"
"recvaDMwANmQFs","","","2026-02-08","","","BUG","历史推荐：将原有“区间日期筛选”弹框，改为“滚筒下拉框形式”，且只做单日日期筛选，日期默认选中前 31天；同时，对应弹框交互以及规则需要按红框需求实现",""
"recvbyuH2ZK1nX","","新增","","dylon","ham, 刘瀚卿","BUG","安卓手机：点击时不应附带蓝色边框",""
"recvbyuYL7id6V","","新增","","dylon","ham, 刘瀚卿","BUG","房产要求：正确应只有“不限、近期购房、家乡地已购房、现居地已购房”4项可选，且择偶项“近期购房”匹配资料项“近期有购房计划”，“家乡地已购房、现居地已购房”2项同理；“不限”项则匹配“家乡地已购房、现居地已购房、近期有购房计划、婚后购房、父母同住、租房” 6项",""
"recvbyzDPyOtVv","","新增","","dylon","ham, 刘瀚卿","BUG","机器人后缀亲属关系字段，建议随机关系，否则清一色都是“母亲”",""
