"recordId","优先级","当前状态","反馈日期","提报人","跟进人","类型","问题描述","备注说明"
"recvaDetxzg6eB","P0","新增","2026-02-08","dylon","杨璐琳","BUG","超级曝光：这里是不是少了单次开通超级曝光的弹框视觉？",""
"recvaDeMgRPtMG","P0","新增","2026-02-08","dylon","ham","BUG","超级曝光：1、宣发页需更换为最新的，详见视觉稿；2、最新视觉稿中，点击“查看全部特权介绍 >”按钮，跳转至至尊会员开通页",""
"recvaDgliuk7oI","P0","新增","2026-02-08","dylon","ham","BUG","超级曝光：首页未实现超级曝光专区推荐，详见prd",""
"recvaDMwh5FKZ3","P0","验收未通过","2026-02-08","dylon","ham","BUG","历史推荐：非至尊会员身份，点击“日期筛选”时，正确应弹出会员充值阻断弹框",""
"recvayCA9ZWJu1","P0","新增","2026-02-07","dylon","ham","BUG","目前在不同页面的不同按钮解锁会话时，其实现的交互有些混乱，需要统一梳理，详见下方【新需求--3】",""
"recvbyy0P4CGKe","P0","新增","","dylon","ham, 刘瀚卿","BUG","实名认证：第一次实名认证时，提示实名认证失败，具体为姓名、身份证号校对正确，与微信号的校对失败，再次点击验证时，才校对成功",""
"recvbyyIa8m5J1","P0","新增","","dylon","ham, 刘瀚卿","BUG","实名认证：实名认证成功回到上一页后，正确应显示已认证状态身份信息，现况为可以再次填写认证",""
"recvaVJoBaVMAx","P0","验收未通过","","dylon","ham","BUG","4、跳转至嘉宾详情页的热区点击，需同首页一样进行优化",""
"recvaVRprGHWey","P0","新增","","dylon","ham","BUG","正确阻断方式，正确应该如父问题的prd截图出阻断解锁弹框，而现在错误出了阻断开通弹框",""
"recvb1cilOmbpj","P0","新增","","dylon","ham","BUG","父问题补充：其滚筒下拉框样式，以及交互，对照截图实现，图 1 是现有视觉弹框可直接复用UI，图 2 是UI复用后的实现样式（排版交互要一致）",""
"recvb12DzDcUrn","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹窗：标题文案“开通会员解锁联系方式”错误，需根据黄金会员、至尊会员tab的切换而变化，对应标题为“开通黄金会员即可查看 / 开通至尊会员即可查看”  ；",""
"recvb12DXgkLF0","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹框：弹幕交互不对，详见截图需求文档；",""
"recvb12EeWhskd","P1","新增","2026-02-12","dylon","ham","BUG","会员阻断弹框：权益轮播图未更新，需对照视觉稿进行修改",""
"recvavHlgJRvnf","P1","验收未通过","2026-02-09","dylon","ham","BUG","嘉宾详情页，底部“未收藏、已收藏”按钮状态未做区分，需对照视觉稿修改","这个地方有点不符合预期"
"recvaBxTuFC00m","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：点击底部“购买说明”，未出现弹框提示，需对照视觉稿、prd补充",""
"recvaBA0ZXQ8Zz","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：对照截图视觉稿，目前缺少“xx会员尊享xx打特权”标题，以及 “查看更多权益”入口，对应需求参考prd",""
"recvaBBUDwAuSv","P1","新增","2026-02-08","dylon","ham","BUG","会员阻断：无论会员阻断弹框，还是会员开通页面，涉及至尊会员特权功能的一律默认选中“至尊会员”tab，未涉及（黄金会员也支持的）的一律默认选中“黄金会员”tab",""
"recvaxxmCIQz5R","P1","修复中","2026-02-07","dylon","ham, 刘瀚卿","BUG","上传孩子照片时，缺少做人脸验证，需求详见截图 2","@ham
前端接入按这 3 步：
先拿上传预签名 URL
POST /object/upload（需 Bearer）
代码：object.go (line 33)
body 示例：
{ ""module"": ""child_photo"", ""file_number"": 1 }
前端直传图片到预签名 URL（PUT）
回调业务接口保存照片
POST /api/v1/profile/child/{child_id}/photo
body 示例：
{ ""url"": ""child_photo/xxx.jpg"", ""is_primary"": false }
（也可传可访问的 https URL）
联调时前端重点处理这些错误码：
110607：未检测到人脸
110608：检测到多人脸
110602：上传/检测服务异常（稍后重试）
110603：最多 6 张"
"recvaVJ0vOHQJp","P1","新增","","dylon","ham","BUG","3、收藏时间需补充后缀“我收藏的”，问题详见截图，正确的详见视觉稿",""
"recvaxNi9gX6oL","P2","待验收","2026-02-09","dylon","ham","BUG","1、虽然能正常录制语音，但录制交互理解成本高，需对照视觉稿进行优化
2、录制后的语音，点击播放提示“播放失败”",""
"recvaC4oMMVLLV","P2","新增","2026-02-08","dylon","ham","BUG","精准查找：其出生年份选择器的交互逻辑、视觉展示，未与prd、视觉稿一致，需对照优化，详见prd【资料编辑--择偶标准--年份要求】",""
"recvaCazcJbryS","P2","新增","2026-02-08","dylon","ham","BUG","精准查找：其身高选择器的交互逻辑、视觉展示，未与prd、视觉稿一致，需对照优化，详见prd【资料编辑--择偶标准--年份要求】",""
"recvaCckCYDu0S","P2","验收未通过","2026-02-08","dylon","ham","BUG","精准查找：地区要求显示择偶标准中的所有城市，默认选中现居地城市，最多只能选择 1 个城市，没有“不限”和“不填写”选项",""
"recvaEfvkoVaQh","P2","待验收","2026-02-08","dylon","ham, 刘瀚卿","BUG","实名认证：单次认真支付，支付时报错提示“支付失败”","@ham这里的状态判断有问题，我已经通过公安部身份验证，无法进入第二步手机号验证"
"recvaDMwANmQFs","","","2026-02-08","","","BUG","历史推荐：将原有“区间日期筛选”弹框，改为“滚筒下拉框形式”，且只做单日日期筛选，日期默认选中前 31天；同时，对应弹框交互以及规则需要按红框需求实现",""
"recvbyuH2ZK1nX","","新增","","dylon","ham, 刘瀚卿","BUG","安卓手机：点击时不应附带蓝色边框",""
"recvbyuYL7id6V","","新增","","dylon","ham, 刘瀚卿","BUG","房产要求：正确应只有“不限、近期购房、家乡地已购房、现居地已购房”4项可选，且择偶项“近期购房”匹配资料项“近期有购房计划”，“家乡地已购房、现居地已购房”2项同理；“不限”项则匹配“家乡地已购房、现居地已购房、近期有购房计划、婚后购房、父母同住、租房” 6项",""
"recvbyzDPyOtVv","","新增","","dylon","ham, 刘瀚卿","BUG","机器人后缀亲属关系字段，建议随机关系，否则清一色都是“母亲”",""
